,sdate,edate,strike,spot,soptprice,eoptprice,endethprice,buyerprofit,oppcost,truelpprofit
0,2021-01-09,2021-01-16,420.0,1279.96,868.9641292889067,808.52,1228.52,-60.444129288906765,0.0,9.00412928890671
1,2021-01-09,2021-01-16,450.0,1279.96,839.6076306026289,778.52,1228.52,-61.087630602628906,0.0,9.647630602628851
2,2021-01-09,2021-01-16,480.0,1279.96,810.2518815230603,748.52,1228.52,-61.73188152306034,0.0,10.291881523060283
3,2021-01-09,2021-01-16,510.0,1279.96,780.8980365536052,718.52,1228.52,-62.37803655360517,0.0,10.938036553605116
4,2021-01-09,2021-01-16,540.0,1279.96,751.5485131697402,688.52,1228.52,-63.02851316974022,0.0,11.588513169740168
5,2021-01-09,2021-01-16,570.0,1279.96,722.2078901779327,658.52,1228.52,-63.68789017793267,0.0,12.247890177932618
6,2021-01-09,2021-01-16,600.0,1279.96,692.8841149221067,628.52,1228.52,-64.36411492210675,0.0,12.924114922106696
7,2021-01-09,2021-01-16,630.0,1279.96,663.5899651584868,598.52,1228.52,-65.06996515848687,0.0,13.629965158486812
8,2021-01-09,2021-01-16,660.0,1279.96,634.3446430748635,568.52,1228.52,-65.8246430748635,0.0,14.384643074863448
9,2021-01-09,2021-01-16,690.0,1279.96,605.175323934359,538.52,1228.52,-66.65532393435899,0.0,15.215323934358935
10,2021-01-09,2021-01-16,720.0,1279.96,576.1184547343314,508.52,1228.52,-67.59845473433143,0.0,16.15845473433137
11,2021-01-09,2021-01-16,750.0,1279.96,547.2206062432496,478.52,1228.52,-68.70060624324958,0.0,17.260606243249526
12,2021-01-09,2021-01-16,780.0,1279.96,518.5387232302998,448.52,1228.52,-70.01872323029977,0.0,18.578723230299715
13,2021-01-09,2021-01-16,810.0,1279.96,490.1396837762345,418.52,1228.52,-71.61968377623452,0.0,20.17968377623447
14,2021-01-09,2021-01-16,840.0,1279.96,462.0991562857853,388.52,1228.52,-73.5791562857853,0.0,22.139156285785248
15,2021-01-09,2021-01-16,870.0,1279.96,434.4998186912138,358.52,1228.52,-75.97981869121384,0.0,24.53981869121378
16,2021-01-09,2021-01-16,900.0,1279.96,407.4290671464835,328.52,1228.52,-78.9090671464835,0.0,27.46906714648344
17,2021-01-09,2021-01-16,930.0,1279.96,380.9763840682374,298.52,1228.52,-82.45638406823741,0.0,31.016384068237357
18,2021-01-09,2021-01-16,960.0,1279.96,355.23055492319656,268.52,1228.52,-86.71055492319658,0.0,35.27055492319653
19,2021-01-09,2021-01-16,990.0,1279.96,330.2769208243391,238.51999999999998,1228.52,-91.75692082433909,0.0,40.316920824339036
20,2021-01-09,2021-01-16,1020.0,1279.96,306.1948337010431,208.51999999999998,1228.52,-97.6748337010431,0.0,46.234833701043044
21,2021-01-09,2021-01-16,1050.0,1279.96,283.0554479831368,178.51999999999998,1228.52,-104.5354479831368,0.0,53.09544798313675
22,2021-01-09,2021-01-16,1080.0,1279.96,260.91994316975695,148.51999999999998,1228.52,-112.39994316975697,0.0,60.95994316975691
23,2021-01-09,2021-01-16,1110.0,1279.96,239.83823060183033,118.51999999999998,1228.52,-121.31823060183035,0.0,69.8782306018303
