Date,Rrate,ethvix,spot
2020-04-15,0.63,1.0548,152.85
2020-04-16,0.61,1.0327,172.58
2020-04-17,0.65,1.0255,170.98
2020-04-18,0.65,0.9987,187.81
2020-04-19,0.65,1.0169,180.34
2020-04-20,0.63,0.9997,170.6
2020-04-21,0.58,1.0254,171.0
2020-04-22,0.63,0.9587,183.04
2020-04-23,0.61,0.9643999999999999,185.68
2020-04-24,0.6,0.9466,187.7
2020-04-25,0.6,0.8825,194.39
2020-04-26,0.6,0.9054000000000001,197.78
2020-04-27,0.67,0.917,196.78
2020-04-28,0.62,0.9581999999999999,196.86
2020-04-29,0.63,0.9517,215.55
2020-04-30,0.64,1.0552,206.27
2020-05-01,0.64,0.9841,211.98
2020-05-02,0.64,0.9533,214.15
2020-05-03,0.64,0.9590000000000001,210.06
2020-05-04,0.64,1.0241,206.94
2020-05-05,0.66,1.0006,205.48
2020-05-06,0.72,0.9523,199.1
2020-05-07,0.63,0.9642000000000001,212.37
2020-05-08,0.69,0.9415,211.54
2020-05-09,0.69,0.9384999999999999,210.1
2020-05-10,0.69,1.1284999999999998,187.84
2020-05-11,0.73,1.1155,185.88
2020-05-12,0.69,0.9693999999999999,189.9
2020-05-13,0.64,0.9677,199.85
2020-05-14,0.63,0.9958,203.32
2020-05-15,0.64,1.0144,194.65
2020-05-16,0.64,0.9165000000000001,200.51
2020-05-17,0.64,0.9752,206.98
2020-05-18,0.73,0.9974,214.73
2020-05-19,0.7,0.9595,214.63
2020-05-20,0.68,0.8898999999999999,209.85
2020-05-21,0.68,0.8965000000000001,198.56
2020-05-22,0.66,0.9015000000000001,207.28
2020-05-23,0.66,0.8586,206.7
2020-05-24,0.66,0.873,199.78
2020-05-25,0.66,0.873,204.1
2020-05-26,0.69,0.873,201.03
2020-05-27,0.68,0.873,208.34
2020-05-28,0.7,0.873,220.3
2020-05-29,0.65,0.873,220.56
2020-05-30,0.65,0.873,243.57
2020-05-31,0.65,0.873,231.73
2020-06-01,0.66,0.873,248.21
2020-06-02,0.68,0.873,237.81
2020-06-03,0.77,0.873,244.56
2020-06-04,0.82,0.8206,243.35
2020-06-05,0.91,0.7473000000000001,240.08
2020-06-06,0.91,0.7433,242.08
2020-06-07,0.91,0.7462000000000001,244.75
2020-06-08,0.88,0.7271,246.47
2020-06-09,0.84,0.7265,244.0
2020-06-10,0.75,0.759,248.01
2020-06-11,0.66,0.7915000000000001,230.21
2020-06-12,0.71,0.7356999999999999,237.54
2020-06-13,0.71,0.7239,238.21
2020-06-14,0.71,0.7383,231.61
2020-06-15,0.71,0.774,230.98
2020-06-16,0.75,0.7606,235.35
2020-06-17,0.74,0.7495999999999999,233.76
2020-06-18,0.71,0.7363,231.24
2020-06-19,0.7,0.7095,228.71
2020-06-20,0.7,0.7095,228.89
